subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102159778_2737602438671664275,2737602438671664275,102159778,273.76024382484945,67.16642750733658,660.0,3.037950038909912,0.7718176130644135,C,8
discovery_engine,102159193_2709160432660459052,2709160432660459052,102159193,270.9160432741581,66.0459052507934,15062.0,17.94298553466797,0.7030748433547356,C,10
discovery_engine,102160611_2738066629685961934,2738066629685961934,102160611,273.8066629360488,68.59619345577906,229.0,1.4584155082702637,0.525700005366225,C,10
discovery_engine,102158586_2710715909647637365,2710715909647637365,102158586,271.0715909593037,64.76373659895555,353.0,0.96345853805542,1.0535413890205332,C,10
discovery_engine,102159489_2725731664662876609,2725731664662876609,102159489,272.5731664097009,66.28766098258262,429.0,1.391034483909607,1.7934747369074475,B,10
discovery_engine,102158888_2666127505654253183,2666127505654253183,102158888,266.61275057357886,65.42531835553343,266.0,2.669220447540283,0.8664560241824737,C,9
discovery_engine,102158584_2684636301650542568,2684636301650542568,102158584,268.46363012596834,65.05425689620138,3866.0,6.5569376945495605,1.270310313150629,C,10
discovery_engine,102160060_2712011714673519784,2712011714673519784,102160060,271.2011714898894,67.3519784306969,3135.0,13.065101623535156,0.8101882891410526,C,9
discovery_engine,102159490_2743205364666306983,2743205364666306983,102159490,274.320536439871,66.6306983016616,464.0,1.7611571550369265,1.310900468626918,C,9
discovery_engine,102160059_2699461169676130656,2699461169676130656,102160059,269.94611695126315,67.61306568186704,3419.0,9.652945518493652,0.6581050924301494,C,10
discovery_engine,102160337_2701254133678933511,2701254133678933511,102160337,270.1254133752072,67.89335117440586,2120.0,6.50946044921875,2.271012167940833,A,17
discovery_engine,102159196_2750209178658155394,2750209178658155394,102159196,275.02091783914415,65.81553944858133,2185.0,3.5333173274993896,0.6361062908356073,C,10
discovery_engine,102158270_2660101090644460436,2660101090644460436,102158270,266.0101090586714,64.44604369485799,6102.0,5.383235454559326,1.7979463844393446,B,9
discovery_engine,102158893_2715622043654241467,2715622043654241467,102158893,271.5622043652823,65.42414676764255,529.0,1.1899031400680542,0.6361062908356073,C,10
discovery_engine,102160339_2733841929680970616,2733841929680970616,102160339,273.3841929769941,68.09706166798318,3910.0,6.800454616546631,0.5663596273130309,C,10
discovery_engine,102159189_2670264740661969458,2670264740661969458,102159189,267.02647405860614,66.19694583301239,3096.0,6.861963272094727,1.1591265219774674,C,10
